year,sector,rank,ticker,value,signal
2024,Utilities,1,EIX,81.8799,esg
2024,Utilities,2,AWK,77.3821,esg
2024,Utilities,3,SRE,76.0393,esg
2024,Utilities,4,AES,74.8843,esg
2024,Utilities,5,ES,73.6053,esg
2025,Communication Services,1,DIS,82.7511,esg
2025,Communication Services,2,GOOGL,79.0965,esg
2025,Communication Services,3,T,72.1706,esg
2025,Communication Services,4,TMUS,71.0887,esg
2025,Communication Services,5,WBD,70.4831,esg
2025,Consumer Discretionary,1,CCL,85.0022,esg
2025,Consumer Discretionary,2,TSCO,83.3384,esg
2025,Consumer Discretionary,3,HLT,81.6222,esg
2025,Consumer Discretionary,4,YUM,79.413,esg
2025,Consumer Discretionary,5,BBY,77.5852,esg
2025,Consumer Staples,1,PM,87.3908,esg
2025,Consumer Staples,2,MO,85.2059,esg
2025,Consumer Staples,3,BG,84.4737,esg
2025,Consumer Staples,4,TGT,82.9613,esg
2025,Consumer Staples,5,HSY,81.9859,esg
2025,Energy,1,KMI,81.4647,esg
2025,Energy,2,HAL,80.9555,esg
2025,Energy,3,BKR,80.7873,esg
2025,Energy,4,OKE,79.4976,esg
2025,Energy,5,OXY,79.3561,esg
2025,Financials,1,BAC,87.5979,esg
2025,Financials,2,SPGI,86.0355,esg
2025,Financials,3,C,85.1201,esg
2025,Financials,4,BNY,85.0062,esg
2025,Financials,5,NDAQ,80.0837,esg
2025,Health Care,1,JNJ,89.4676,esg
2025,Health Care,2,BDX,87.3096,esg
2025,Health Care,3,GILD,87.0029,esg
2025,Health Care,4,BIIB,83.5663,esg
2025,Health Care,5,ABT,83.5044,esg
2025,Industrials,1,LMT,85.5615,esg
2025,Industrials,2,MMM,84.2266,esg
2025,Industrials,3,UBER,81.8014,esg
2025,Industrials,4,EMR,81.3544,esg
2025,Industrials,5,BA,80.128,esg
2025,Information Technology,1,MSFT,87.503,esg
2025,Information Technology,2,NXPI,87.0674,esg
2025,Information Technology,3,CDNS,86.7167,esg
