year,ticker,sector,esg_rank,ret_rank,esg_years,ret_years,min_years,esg_mean,selected
2015,T,Communication Services,2,2,10,8,8,46.646398265739094,True
2015,VZ,Communication Services,3,6,9,6,6,57.906947532946084,True
2015,GOOGL,Communication Services,4,7,8,5,5,51.15716920223556,True
2015,OMC,Communication Services,5,5,6,6,6,40.75277585839236,True
2015,SBUX,Consumer Discretionary,1,20,9,1,1,77.85535291186532,False
2015,MCD,Consumer Discretionary,2,25,9,1,1,68.68276220194403,False
2015,F,Consumer Discretionary,3,13,8,1,1,73.00489050762667,False
2015,CCL,Consumer Discretionary,4,48,6,0,0,61.94876444243563,False
2015,MAT,Consumer Discretionary,5,42,3,0,0,55.37067134690865,False
2015,PEP,Consumer Staples,1,19,8,1,1,72.71393968146478,False
2015,MDLZ,Consumer Staples,2,20,7,1,1,71.78325954271808,False
2015,KO,Consumer Staples,3,16,6,1,1,74.07072739104999,False
2015,WMT,Consumer Staples,4,23,6,1,1,68.70964658149829,False
2015,CPB,Consumer Staples,5,21,5,1,1,57.53638683834074,False
2015,STT,Financials,1,41,9,0,0,72.20835460549753,False
2015,C,Financials,2,32,8,1,1,66.73623899572709,False
2015,WFC,Financials,3,13,6,2,2,62.26039163100596,False
2015,ALL,Financials,4,24,5,1,1,63.933542847317696,False
2015,JPM,Financials,5,42,4,0,0,56.28307331260978,False
2015,JNJ,Health Care,1,34,10,0,0,78.4936286940192,False
2015,BAX,Health Care,2,33,10,0,0,75.30692077392153,False
2015,CVS,Health Care,3,26,7,0,0,69.55391379485107,False
2015,MRK,Health Care,4,19,6,1,1,70.61549270931842,False
2015,BMY,Health Care,5,27,5,0,0,76.38324634016129,False
2015,JCI,Industrials,1,28,10,1,1,71.89761272299678,False
2015,MMM,Industrials,2,37,10,0,0,70.82937886694465,False
2015,UPS,Industrials,3,45,8,0,0,61.92268822547633,False
2015,WM,Industrials,4,26,5,1,1,67.25218504083928,False
2015,ETN,Industrials,5,20,5,1,1,61.968357467460336,False
2015,CSCO,Information Technology,1,25,10,1,1,79.01572193400924,False
2015,HPQ,Information Technology,2,11,8,2,2,74.72070665970578,False
2015,INTC,Information Technology,3,12,7,2,2,78.65757510137614,False
2015,TXN,Information Technology,4,31,7,0,0,75.65134764954567,False
2015,MSFT,Information Technology,5,33,6,0,0,70.66806377127334,False
2015,FCX,Materials,1,3,10,4,4,65.70013338135203,True
2015,NEM,Materials,2,15,9,2,2,79.38625186420046,False
2015,APD,Materials,3,16,6,1,1,64.56736174476876,False
2015,PPG,Materials,4,5,4,4,4,46.570326007728525,True
2015,AVY,Materials,5,18,4,1,1,41.310958740475165,False
2015,WY,Real Estate,1,11,8,3,3,82.54324423656556,True
2015,HST,Real Estate,2,10,7,3,3,46.00363533143111,True
2015,PLD,Real Estate,3,15,5,2,2,48.40903908370055,False
2015,EQR,Real Estate,4,17,5,0,0,35.9389595904006,False
2015,MAC,Real Estate,5,7,4,3,3,39.60844352057302,True
2015,PCG,Utilities,1,14,8,2,2,78.36645239763442,False
2015,PNW,Utilities,2,20,8,1,1,66.40607299419696,False
2015,WEC,Utilities,3,9,6,2,2,66.0075992754355,False
2015,SO,Utilities,4,15,4,2,2,61.531342403964196,False
2015,EXC,Utilities,5,16,4,2,2,59.67157978937672,False
2016,DIS,Communication Services,1,1,10,10,10,61.856197163064756,True
2016,T,Communication Services,2,2,10,8,8,51.42241083503561,True
2016,VZ,Communication Services,3,5,9,6,6,63.173418871220704,True
2016,GOOGL,Communication Services,4,6,9,5,5,50.399494877428516,True
2016,OMC,Communication Services,5,7,7,5,5,41.14469600919225,True
2016,SBUX,Consumer Discretionary,1,15,9,1,1,79.27934806101604,False
2016,MCD,Consumer Discretionary,2,24,9,1,1,71.74420587407795,False
2016,F,Consumer Discretionary,3,14,8,1,1,73.06074944599216,False
2016,CCL,Consumer Discretionary,4,48,7,0,0,66.40197555631364,False
2016,HD,Consumer Discretionary,5,33,2,0,0,60.637147942650245,False
2016,PEP,Consumer Staples,1,27,8,0,0,75.87018816989548,False
2016,MDLZ,Consumer Staples,2,17,7,1,1,76.05214227541391,False
2016,KO,Consumer Staples,3,20,6,1,1,78.03465906282534,False
2016,WMT,Consumer Staples,4,23,6,1,1,74.56146773420997,False
2016,CPB,Consumer Staples,5,21,6,1,1,63.61050283077138,False
2016,STT,Financials,1,48,9,0,0,75.83992690048922,False
2016,C,Financials,2,32,9,1,1,71.23714045158759,False
2016,ALL,Financials,3,23,6,1,1,67.41582715487635,False
2016,WFC,Financials,4,12,6,2,2,66.16329991499015,False
2016,JPM,Financials,5,38,5,0,0,60.821280693295535,False
2016,JNJ,Health Care,1,38,10,0,0,80.90270632913608,False
2016,BAX,Health Care,2,37,10,0,0,77.83717171542334,False
2016,CVS,Health Care,3,27,8,0,0,74.74747141903381,False
2016,MRK,Health Care,4,18,6,1,1,72.28949781968484,False
2016,A,Health Care,5,17,6,1,1,71.73618505490204,False
2016,MMM,Industrials,1,39,10,0,0,75.49100277832753,False
2016,JCI,Industrials,2,32,10,1,1,75.04227662303092,False
2016,UPS,Industrials,3,47,7,0,0,64.43961340611361,False
2016,WM,Industrials,4,26,5,1,1,67.43589791611083,False
2016,ETN,Industrials,5,37,5,0,0,62.66124860718331,False
2016,CSCO,Information Technology,1,23,10,1,1,82.01886234305258,False
2016,INTC,Information Technology,2,22,8,1,1,82.91981450464823,False
2016,MSFT,Information Technology,3,30,7,0,0,77.76721068518832,False
2016,TXN,Information Technology,4,31,7,0,0,77.52280451138051,False
2016,HPQ,Information Technology,5,15,7,2,2,77.10896239155613,False
2016,NEM,Materials,1,19,10,1,1,79.72972898654692,False
2016,FCX,Materials,2,9,10,3,3,72.15864138128089,True
2016,APD,Materials,3,16,7,1,1,65.78317594002337,False
2016,PPG,Materials,4,5,4,4,4,50.65739217109056,True
2016,AVY,Materials,5,13,4,2,2,47.21504737710884,False
2016,WY,Real Estate,1,14,9,2,2,83.1287680062832,False
2016,HST,Real Estate,2,9,8,3,3,48.35048101740587,True
2016,PLD,Real Estate,3,18,6,1,1,50.602336241518074,False
2016,MAC,Real Estate,4,11,4,2,2,41.02025635657033,False
2016,EQR,Real Estate,5,20,4,0,0,36.61529265201624,False
2016,PCG,Utilities,1,6,9,3,3,79.16920406480487,True
2016,PNW,Utilities,2,23,7,0,0,68.52431143732693,False
2016,WEC,Utilities,3,10,7,2,2,66.81741138212524,False
2016,DUK,Utilities,4,17,5,1,1,56.44161579070385,False
2016,EXC,Utilities,5,15,3,2,2,61.93176065757142,False
2017,DIS,Communication Services,1,1,10,8,8,63.680255170488614,True
2017,T,Communication Services,2,3,10,7,7,57.3776966598502,True
2017,VZ,Communication Services,3,7,9,5,5,66.62398999359766,True
2017,GOOGL,Communication Services,4,6,9,5,5,50.73765848585139,True
2017,OMC,Communication Services,5,8,7,4,4,40.992736184333744,True
2017,SBUX,Consumer Discretionary,1,15,9,1,1,78.8823788635394,False
2017,MCD,Consumer Discretionary,2,24,8,1,1,74.01715306032166,False
2017,F,Consumer Discretionary,3,13,8,1,1,72.93441215620341,False
2017,CCL,Consumer Discretionary,4,49,8,0,0,70.72109158303017,False
2017,HAS,Consumer Discretionary,5,22,3,1,1,59.44043386921263,False
2017,MDLZ,Consumer Staples,1,26,8,0,0,79.43719586984916,False
2017,PEP,Consumer Staples,2,29,8,0,0,77.40648792925822,False
2017,CPB,Consumer Staples,3,30,7,0,0,70.36231280260324,False
2017,KO,Consumer Staples,4,21,6,1,1,81.0659975818792,False
2017,WMT,Consumer Staples,5,23,6,1,1,76.67385836479227,False
2017,C,Financials,1,35,10,1,1,74.7828142500641,False
2017,STT,Financials,2,56,9,0,0,77.47177657267086,False
2017,ALL,Financials,3,29,7,1,1,70.55211159996466,False
2017,WFC,Financials,4,10,6,2,2,69.22000364986202,False
2017,JPM,Financials,5,45,6,0,0,64.57645760529226,False
2017,JNJ,Health Care,1,37,10,0,0,83.45514578805856,False
2017,BAX,Health Care,2,38,10,0,0,79.1516022458438,False
2017,CVS,Health Care,3,32,9,0,0,79.62405388467837,False
2017,A,Health Care,4,20,7,1,1,74.79090989943928,False
2017,MRK,Health Care,5,36,5,0,0,72.59015861983112,False
2017,MMM,Industrials,1,40,10,0,0,79.02172055747607,False
2017,JCI,Industrials,2,12,10,2,2,78.25880665613883,False
2017,WM,Industrials,3,24,6,1,1,68.60258533453964,False
2017,UPS,Industrials,4,48,6,0,0,64.68045024429338,False
2017,ETN,Industrials,5,38,4,0,0,64.6252711208312,False
2017,CSCO,Information Technology,1,38,10,0,0,82.45457064699097,False
2017,INTC,Information Technology,2,21,9,1,1,86.95767792623025,False
2017,MSFT,Information Technology,3,33,8,0,0,82.0331283739554,False
2017,TXN,Information Technology,4,27,7,0,0,79.70395450460936,False
2017,HPQ,Information Technology,5,15,6,2,2,77.98207888814642,False
2017,NEM,Materials,1,18,10,2,2,79.78411517112326,False
2017,FCX,Materials,2,3,10,4,4,76.85672803168765,True
2017,APD,Materials,3,7,8,3,3,67.08461149534816,True
2017,PPG,Materials,4,5,4,4,4,54.92381620166786,True
2017,AVY,Materials,5,16,4,2,2,53.25373982094864,False
2017,WY,Real Estate,1,14,10,2,2,83.02949445506474,False
2017,HST,Real Estate,2,8,8,3,3,51.621271487830214,True
2017,PLD,Real Estate,3,15,7,2,2,55.9133651599308,False
2017,MAC,Real Estate,4,9,4,2,2,42.8751161542202,False
2017,AVB,Real Estate,5,24,3,0,0,43.567160309853456,False
2017,PCG,Utilities,1,12,10,2,2,79.90218931874628,False
2017,PNW,Utilities,2,26,6,0,0,68.98614348883186,False
2017,WEC,Utilities,3,8,6,2,2,67.12323573441661,False
2017,DUK,Utilities,4,23,6,1,1,59.7686487860917,False
2017,ETR,Utilities,5,14,3,2,2,57.70060785064142,False
2018,DIS,Communication Services,1,3,10,7,7,64.31339599770445,True
2018,T,Communication Services,2,5,10,6,6,59.90089096126921,True
2018,VZ,Communication Services,3,8,9,4,4,66.56165052377467,True
2018,GOOGL,Communication Services,4,6,9,5,5,50.84898486501079,True
2018,OMC,Communication Services,5,7,8,4,4,44.05531472560728,True
2018,SBUX,Consumer Discretionary,1,15,8,1,1,79.50867432816636,False
2018,F,Consumer Discretionary,2,14,8,1,1,74.44506427076648,False
2018,CCL,Consumer Discretionary,3,51,7,0,0,73.55094932806922,False
2018,MCD,Consumer Discretionary,4,27,7,1,1,73.33414469273093,False
2018,HAS,Consumer Discretionary,5,24,4,1,1,64.79596838250386,False
2018,CPB,Consumer Staples,1,30,8,0,0,76.46996130265397,False
2018,MDLZ,Consumer Staples,2,26,7,0,0,78.7244511167377,False
2018,PEP,Consumer Staples,3,28,7,0,0,77.45710443905594,False
2018,WMT,Consumer Staples,4,12,6,2,2,76.4591318298279,False
2018,KO,Consumer Staples,5,29,5,0,0,79.74112649583778,False
2018,C,Financials,1,35,10,1,1,76.0476449219868,False
2018,STT,Financials,2,58,9,0,0,80.08806677780548,False
2018,ALL,Financials,3,26,8,1,1,72.733700098882,False
2018,JPM,Financials,4,40,7,0,0,68.9913106161978,False
2018,WFC,Financials,5,9,6,2,2,71.04846643801028,False
2018,JNJ,Health Care,1,36,10,0,0,85.60055830985678,False
2018,CVS,Health Care,2,41,10,0,0,85.28360282733033,False
2018,BAX,Health Care,3,38,10,0,0,79.70186707225523,False
2018,A,Health Care,4,28,6,0,0,76.3555604152148,False
2018,MRK,Health Care,5,48,5,0,0,73.92816376455265,False
2018,MMM,Industrials,1,35,10,0,0,81.09486617857655,False
2018,JCI,Industrials,2,13,10,2,2,80.69817470352675,False
2018,WM,Industrials,3,21,6,1,1,71.33230507099451,False
2018,UPS,Industrials,4,47,5,0,0,66.13489710471235,False
2018,CTAS,Industrials,5,14,3,1,1,65.69472464358546,False
2018,CSCO,Information Technology,1,43,10,0,0,82.6551256419444,False
2018,INTC,Information Technology,2,41,9,0,0,88.31413815287938,False
2018,MSFT,Information Technology,3,36,9,0,0,85.73706140005606,False
2018,TXN,Information Technology,4,30,8,0,0,82.91937909016211,False
2018,HPQ,Information Technology,5,15,5,2,2,76.78152217833338,False
2018,NEM,Materials,1,17,10,2,2,81.31788444890735,False
2018,FCX,Materials,2,6,10,3,3,80.27221980575374,True
2018,APD,Materials,3,18,9,1,1,70.9096031056696,False
2018,IFF,Materials,4,11,5,2,2,52.855155495163146,False
2018,AVY,Materials,5,8,4,3,3,59.262227342416814,True
